handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
abz_airport,Aberdeen Regional Airport,"aberdeen, sd",agency;agency leadership;tsa iir;airport security;pre checks,airport,45.4530258,-98.4184341,,,Airport,Aberdeen Regional Airport,,eng_dgm_tsa_mentioner_entities,57c31260b5267eef11a0257703860583,eng_dgm_tsa_mentioner_entities__57c31260b5267eef11a0257703860583
abiairport,Abilene Regional Airport,"abilene, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,32.4118941,-99.6800464,,,Airport,Abilene Regional Airport,,eng_dgm_tsa_mentioner_entities,9532af1f4b1a09f4a996dfc1aa5872e5,eng_dgm_tsa_mentioner_entities__9532af1f4b1a09f4a996dfc1aa5872e5
cakairport,Akron-Canton Airport,"akron, oh",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.9153709,-81.4416324,,,Airport,Akron-Canton Airport,,eng_dgm_tsa_mentioner_entities,c5779267ba979931a12011f420465f1d,eng_dgm_tsa_mentioner_entities__c5779267ba979931a12011f420465f1d
albanyairport,Albany International Airport,"albany, ny",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.7487124,-73.8054981,,,Airport,Albany International Airport,,eng_dgm_tsa_mentioner_entities,5c2957a78dd7f69f6a333a94c398db1d,eng_dgm_tsa_mentioner_entities__5c2957a78dd7f69f6a333a94c398db1d
abqsunport,Albuquerque International Sunport,"albuquerque, nm",agency;agency leadership;tsa iir;airport security;pre checks,airport,35.0385945,-106.6143944,,,Airport,Albuquerque International Sunport,,eng_dgm_tsa_mentioner_entities,08be3b84d5ad16d73952df371eb001e1,eng_dgm_tsa_mentioner_entities__08be3b84d5ad16d73952df371eb001e1
englandairpark,Alexandria International Airport,"alexandria, la",agency;agency leadership;tsa iir;airport security;pre checks,airport,31.3274112,-92.5451856,,,Airport,Alexandria International Airport,,eng_dgm_tsa_mentioner_entities,2da616edfa8385d3094ac9a32e25d0ff,eng_dgm_tsa_mentioner_entities__2da616edfa8385d3094ac9a32e25d0ff
flyabe_,Lehigh Valley International Airport,"allentown, pa",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.6510611,-75.4438853,,,Airport,Lehigh Valley International Airport,,eng_dgm_tsa_mentioner_entities,470b98325ababdb20d30bd1e509521ee,eng_dgm_tsa_mentioner_entities__470b98325ababdb20d30bd1e509521ee
altoonaairport,Altoona-Blair County Airport,"altoona, pa",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.2949704,-78.3238791,,,Airport,Altoona-Blair County Airport,,eng_dgm_tsa_mentioner_entities,67702b87dee490a9b6c723988a540990,eng_dgm_tsa_mentioner_entities__67702b87dee490a9b6c723988a540990
ancairport,Ted Stevens Anchorage International Airport,"anchorage, ak",agency;agency leadership;tsa iir;airport security;pre checks,airport,61.1758863,-149.9900792,,,Airport,Ted Stevens Anchorage International Airport,,eng_dgm_tsa_mentioner_entities,69dbee60d89da94053d64be4b1964f2d,eng_dgm_tsa_mentioner_entities__69dbee60d89da94053d64be4b1964f2d
atwairport,Appleton International Airport,"appleton, wi",agency;agency leadership;tsa iir;airport security;pre checks,airport,44.2605,-88.5111,,,Airport,Appleton International Airport,,eng_dgm_tsa_mentioner_entities,6fac0ac0fec1c812fec369b66bccd6b2,eng_dgm_tsa_mentioner_entities__6fac0ac0fec1c812fec369b66bccd6b2
flyhumboldt,California Redwood Coast – Humboldt County Airport,"mckinleyville, ca",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.9709197,-124.1065825,,,Airport,California Redwood Coast – Humboldt County Airport,,eng_dgm_tsa_mentioner_entities,fb718eab5bfc82e2650fafacca8bd3c4,eng_dgm_tsa_mentioner_entities__fb718eab5bfc82e2650fafacca8bd3c4
reagan_airport,Ronald Reagan Washington National Airport,"arlington, va",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.851242,-77.0402315,,,Airport,Ronald Reagan Washington National Airport,,eng_dgm_tsa_mentioner_entities,bbfa4534a83c0e4cdd004179e9750d0c,eng_dgm_tsa_mentioner_entities__bbfa4534a83c0e4cdd004179e9750d0c
flyavlnow,Asheville Regional Airport,"asheville, nc",agency;agency leadership;tsa iir;airport security;pre checks,airport,35.4348962,-82.5378541,,,Airport,Asheville Regional Airport,,eng_dgm_tsa_mentioner_entities,e37ab8a3f403393bfef1ac74b380a999,eng_dgm_tsa_mentioner_entities__e37ab8a3f403393bfef1ac74b380a999
flyaspenairport,Aspen/Pitkin County Airport,"aspen, co",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.2197303,-106.8646011,,,Airport,Aspen/Pitkin County Airport,,eng_dgm_tsa_mentioner_entities,a1866153eef881a4f0336689b6fac1bf,eng_dgm_tsa_mentioner_entities__a1866153eef881a4f0336689b6fac1bf
atlairport,Hartsfield–Jackson Atlanta International Airport,"atlanta, ga",agency;agency leadership;tsa iir;airport security;pre checks,airport,33.6406733,-84.4276504,,,Airport,Hartsfield–Jackson Atlanta International Airport,,eng_dgm_tsa_mentioner_entities,97a28128a9c90148a9d4f9fa0f4934ad,eng_dgm_tsa_mentioner_entities__97a28128a9c90148a9d4f9fa0f4934ad
ac_airport,Atlantic City International Airport,"atlantic city, nj",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.4515696,-74.573885,,,Airport,Atlantic City International Airport,,eng_dgm_tsa_mentioner_entities,e6b40612564830851bee3be74390dd5c,eng_dgm_tsa_mentioner_entities__e6b40612564830851bee3be74390dd5c
ara_augusta,Augusta Regional Airport,"augusta, ga",agency;agency leadership;tsa iir;airport security;pre checks,airport,33.3702981,-81.9649175,,,Airport,Augusta Regional Airport,,eng_dgm_tsa_mentioner_entities,6893a5cc5c97167078f68855cf274c7d,eng_dgm_tsa_mentioner_entities__6893a5cc5c97167078f68855cf274c7d
austinairport,Austin–Bergstrom International Airport,"austin, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,30.1974711,-97.6663529,,,Airport,Austin–Bergstrom International Airport,,eng_dgm_tsa_mentioner_entities,2013dc9d0c647c3dd993b55d01a7a671,eng_dgm_tsa_mentioner_entities__2013dc9d0c647c3dd993b55d01a7a671
flymeadowsfield,Meadows Field Airport,"bakersfield, ca",agency;agency leadership;tsa iir;airport security;pre checks,airport,35.4356948,-119.0575014,,,Airport,Meadows Field Airport,,eng_dgm_tsa_mentioner_entities,fc0e86a9b19bf7522ad3ce7e615b2f0c,eng_dgm_tsa_mentioner_entities__fc0e86a9b19bf7522ad3ce7e615b2f0c
bwi_airport,Baltimore/Washington International Thurgood Marshall Airport,"baltimore, md",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.1774042,-76.6683922,,,Airport,Baltimore/Washington International Thurgood Marshall Airport,,eng_dgm_tsa_mentioner_entities,6c884211428edc545b5526cf77406b4b,eng_dgm_tsa_mentioner_entities__6c884211428edc545b5526cf77406b4b
flybgr,Bangor International Airport,"bangor, me",agency;agency leadership;tsa iir;airport security;pre checks,airport,44.808176,-68.8165035,,,Airport,Bangor International Airport,,eng_dgm_tsa_mentioner_entities,a2e6518aa9223724a32867e93968e994,eng_dgm_tsa_mentioner_entities__a2e6518aa9223724a32867e93968e994
btrairport,Baton Rouge Metropolitan Airport,"baton rouge, la",agency;agency leadership;tsa iir;airport security;pre checks,airport,30.5323599,-91.151461,,,Airport,Baton Rouge Metropolitan Airport,,eng_dgm_tsa_mentioner_entities,cd7932af5973465c19ec63a1528cce7a,eng_dgm_tsa_mentioner_entities__cd7932af5973465c19ec63a1528cce7a
hanscomfield,Hanscom Field,"bedford, ma",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.4681081,-71.2877395,,,Airport,Hanscom Field,,eng_dgm_tsa_mentioner_entities,150105885dc827349d8b05708a7aaf15,eng_dgm_tsa_mentioner_entities__150105885dc827349d8b05708a7aaf15
flybli,Bellingham International Airport,"bellingham, wa",agency;agency leadership;tsa iir;airport security;pre checks,airport,48.7955792,-122.5330642,,,Airport,Bellingham International Airport,,eng_dgm_tsa_mentioner_entities,00f5d20ac7588581db1b782e76b31cb8,eng_dgm_tsa_mentioner_entities__00f5d20ac7588581db1b782e76b31cb8
flybgm,Greater Binghamton Airport,"binghamton, ny",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.208651,-75.9813976,,,Airport,Greater Binghamton Airport,,eng_dgm_tsa_mentioner_entities,4f300c8cbb93ed31f9a391c61ecf3841,eng_dgm_tsa_mentioner_entities__4f300c8cbb93ed31f9a391c61ecf3841
bhmairport,Birmingham–Shuttlesworth International Airport,"birmingham, al",agency;agency leadership;tsa iir;airport security;pre checks,airport,33.5624269,-86.754126,,,Airport,Birmingham–Shuttlesworth International Airport,,eng_dgm_tsa_mentioner_entities,d95b2fdafe4922dc2f058bafd926c70a,eng_dgm_tsa_mentioner_entities__d95b2fdafe4922dc2f058bafd926c70a
flycira,Central Illinois Regional Airport at Bloomington-Normal,"bloomington, il",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.4787411,-88.918708,,,Airport,Central Illinois Regional Airport at Bloomington-Normal,,eng_dgm_tsa_mentioner_entities,fd6d5962d2293a770b174a75107879de,eng_dgm_tsa_mentioner_entities__fd6d5962d2293a770b174a75107879de
iflyboise,Boise Airport,"boise, id",agency;agency leadership;tsa iir;airport security;pre checks,airport,43.5658231,-116.2223159,,,Airport,Boise Airport,,eng_dgm_tsa_mentioner_entities,01887405a67f314f30cd231d06e77424,eng_dgm_tsa_mentioner_entities__01887405a67f314f30cd231d06e77424
bostonlogan,General Edward Lawrence Logan International Airport,"boston, ma",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.3656132,-71.0095602,,,Airport,General Edward Lawrence Logan International Airport,,eng_dgm_tsa_mentioner_entities,32478f4de53aabf9c2737b4a855d8e0e,eng_dgm_tsa_mentioner_entities__32478f4de53aabf9c2737b4a855d8e0e
bozemanairport,Bozeman Yellowstone International Airport,"bozeman, mt",agency;agency leadership;tsa iir;airport security;pre checks,airport,45.7771073,-111.1532346,,,Airport,Bozeman Yellowstone International Airport,,eng_dgm_tsa_mentioner_entities,f55876cd703d0e62f21ffe7f63293e54,eng_dgm_tsa_mentioner_entities__f55876cd703d0e62f21ffe7f63293e54
brainerdairport,Brainerd Lakes Regional Airport,"brainerd, mn",agency;agency leadership;tsa iir;airport security;pre checks,airport,46.3930459,-94.1412635,,,Airport,Brainerd Lakes Regional Airport,,eng_dgm_tsa_mentioner_entities,0ad9bdfc59a414d69544625e996eb5bf,eng_dgm_tsa_mentioner_entities__0ad9bdfc59a414d69544625e996eb5bf
bro_spi_airport,Brownsville/South Padre Island International Airport,"brownsville, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,25.9063266,-97.4269855,,,Airport,Brownsville/South Padre Island International Airport,,eng_dgm_tsa_mentioner_entities,ade60b0af77fdb19563d2856d2f0e8e5,eng_dgm_tsa_mentioner_entities__ade60b0af77fdb19563d2856d2f0e8e5
gcairports,Brunswick Golden Isles Airport,"brunswick, ga",agency;agency leadership;tsa iir;airport security;pre checks,airport,31.2548331,-81.4669111,,,Airport,Brunswick Golden Isles Airport,,eng_dgm_tsa_mentioner_entities,dd3fd67c8267f0792ad9933ac8b6e68d,eng_dgm_tsa_mentioner_entities__dd3fd67c8267f0792ad9933ac8b6e68d
bufairport,Buffalo Niagara International Airport,"buffalo, ny",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.9397059,-78.7295067,,,Airport,Buffalo Niagara International Airport,,eng_dgm_tsa_mentioner_entities,fae64b7bd6b6ac79ccb0bc65918a805b,eng_dgm_tsa_mentioner_entities__fae64b7bd6b6ac79ccb0bc65918a805b
airportflyifp,Laughlin/Bullhead International Airport,"bullhead city, az",agency;agency leadership;tsa iir;airport security;pre checks,airport,35.1562931,-114.5584335,,,Airport,Laughlin/Bullhead International Airport,,eng_dgm_tsa_mentioner_entities,adf467459227ca971b166ab4df0fd8dd,eng_dgm_tsa_mentioner_entities__adf467459227ca971b166ab4df0fd8dd
fly_bur,Bob Hope Airport,"burbank, ca",agency;agency leadership;tsa iir;airport security;pre checks,airport,34.1964412,-118.3539745,,,Airport,Bob Hope Airport,,eng_dgm_tsa_mentioner_entities,69aedae72e3edc14a4d9cbc5ba33ba3d,eng_dgm_tsa_mentioner_entities__69aedae72e3edc14a4d9cbc5ba33ba3d
btvairport,Burlington International Airport,"burlington, vt",agency;agency leadership;tsa iir;airport security;pre checks,airport,44.4706939,-73.1516037,,,Airport,Burlington International Airport,,eng_dgm_tsa_mentioner_entities,8c849afcb88e9cb4a8e961cdf5dae5f5,eng_dgm_tsa_mentioner_entities__8c849afcb88e9cb4a8e961cdf5dae5f5
c_ncia,Casper–Natrona County International Airport,"casper, wy",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.8972751,-106.4648786,,,Airport,Casper–Natrona County International Airport,,eng_dgm_tsa_mentioner_entities,40e79347f7efec83f2060dcdb3852744,eng_dgm_tsa_mentioner_entities__40e79347f7efec83f2060dcdb3852744
fly_cid,Eastern Iowa Airport,"cedar rapids, ia",agency;agency leadership;tsa iir;airport security;pre checks,airport,41.8863861,-91.7069754,,,Airport,Eastern Iowa Airport,,eng_dgm_tsa_mentioner_entities,569a1a7fecbe51141ab5f1afa52f4dda,eng_dgm_tsa_mentioner_entities__569a1a7fecbe51141ab5f1afa52f4dda
iflycu,University of Illinois Willard Airport,"savoy, il",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.0364962,-88.2639879,,,Airport,University of Illinois Willard Airport,,eng_dgm_tsa_mentioner_entities,08bd987074df2c302c622dadcc591b91,eng_dgm_tsa_mentioner_entities__08bd987074df2c302c622dadcc591b91
dulles_airport,Washington Dulles International Airport,"dulles, va",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.9531162,-77.4565388,,,Airport,Washington Dulles International Airport,,eng_dgm_tsa_mentioner_entities,c4c2e34660e0d0d6ab1f4e68289e0a9b,eng_dgm_tsa_mentioner_entities__c4c2e34660e0d0d6ab1f4e68289e0a9b
iflychs,Charleston International Airport,"charleston, sc",agency;agency leadership;tsa iir;airport security;pre checks,airport,32.8942676,-80.038159,,,Airport,Charleston International Airport,,eng_dgm_tsa_mentioner_entities,af9d245faf78d9cf36b09d8ef6aafdcf,eng_dgm_tsa_mentioner_entities__af9d245faf78d9cf36b09d8ef6aafdcf
yeagerairport,Yeager Airport,"charleston, wv",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.3714489,-81.5934922,,,Airport,Yeager Airport,,eng_dgm_tsa_mentioner_entities,b7b1f1d75ee5f7015259482c360c8f3a,eng_dgm_tsa_mentioner_entities__b7b1f1d75ee5f7015259482c360c8f3a
cltairport,Charlotte Douglas International Airport,"charlotte, nc",agency;agency leadership;tsa iir;airport security;pre checks,airport,35.2144026,-80.9473146,,,Airport,Charlotte Douglas International Airport,,eng_dgm_tsa_mentioner_entities,dc9baa498e20172d4ec38740e8ae240a,eng_dgm_tsa_mentioner_entities__dc9baa498e20172d4ec38740e8ae240a
choairport,Charlottesville-Albemarle Airport,"charlottesville, va",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.1394877,-78.4516149,,,Airport,Charlottesville-Albemarle Airport,,eng_dgm_tsa_mentioner_entities,db5bea22a4da753b5d315b97dc6cf5ab,eng_dgm_tsa_mentioner_entities__db5bea22a4da753b5d315b97dc6cf5ab
chattairport,Chattanooga Metropolitan Airport,"chattanooga, tn",agency;agency leadership;tsa iir;airport security;pre checks,airport,35.0374486,-85.1970112,,,Airport,Chattanooga Metropolitan Airport,,eng_dgm_tsa_mentioner_entities,99da77136423ea6d3926961cb740aab8,eng_dgm_tsa_mentioner_entities__99da77136423ea6d3926961cb740aab8
cheyenneairport,Cheyenne Regional Airport,"cheyenne, wy",agency;agency leadership;tsa iir;airport security;pre checks,airport,41.1501255,-104.8080616,,,Airport,Cheyenne Regional Airport,,eng_dgm_tsa_mentioner_entities,df5e9ab8fec2da05328c0bb552d5083e,eng_dgm_tsa_mentioner_entities__df5e9ab8fec2da05328c0bb552d5083e
fly2midway,Chicago Midway International Airport,"chicago, il",agency;agency leadership;tsa iir;airport security;pre checks,airport,41.7867759,-87.7521884,,,Airport,Chicago Midway International Airport,,eng_dgm_tsa_mentioner_entities,18601cb1f67021527ad4d1bd9b74c27f,eng_dgm_tsa_mentioner_entities__18601cb1f67021527ad4d1bd9b74c27f
fly2ohare,O'Hare International Airport,"chicago, il",agency;agency leadership;tsa iir;airport security;pre checks,airport,41.98028,-87.9089979,,,Airport,O'Hare International Airport,,eng_dgm_tsa_mentioner_entities,6bd456184698ad38b5cac8642ae2200d,eng_dgm_tsa_mentioner_entities__6bd456184698ad38b5cac8642ae2200d
flyckb,North Central West Virginia Airport,"clarksburg, wv",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.2967239,-80.231201,,,Airport,North Central West Virginia Airport,,eng_dgm_tsa_mentioner_entities,e8a7efa0627ad80ff6461ccaf76dccbf,eng_dgm_tsa_mentioner_entities__e8a7efa0627ad80ff6461ccaf76dccbf
goingplacescle,Cleveland Hopkins International Airport,"cleveland, oh",agency;agency leadership;tsa iir;airport security;pre checks,airport,41.4057985,-81.8538669,,,Airport,Cleveland Hopkins International Airport,,eng_dgm_tsa_mentioner_entities,abff23bb2f12a21c6108edbc0324a982,eng_dgm_tsa_mentioner_entities__abff23bb2f12a21c6108edbc0324a982
flyeasterwood,Easterwood Airport,"college station, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,30.5936801,-96.3666053,,,Airport,Easterwood Airport,,eng_dgm_tsa_mentioner_entities,7e7a3f33f1d25ffe0bf92c96a96fff19,eng_dgm_tsa_mentioner_entities__7e7a3f33f1d25ffe0bf92c96a96fff19
cosairport,City of Colorado Springs Municipal Airport,"colorado springs, co",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.801712,-104.7026039,,,Airport,City of Colorado Springs Municipal Airport,,eng_dgm_tsa_mentioner_entities,6baf33311f677954159105fbac1c3abc,eng_dgm_tsa_mentioner_entities__6baf33311f677954159105fbac1c3abc
flyfromcou,Columbia Regional Airport,"columbia, mo",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.8173141,-92.2215499,,,Airport,Columbia Regional Airport,,eng_dgm_tsa_mentioner_entities,fe27aa34b5e8c190cfa33ecde8720793,eng_dgm_tsa_mentioner_entities__fe27aa34b5e8c190cfa33ecde8720793
iflycae,Columbia Metropolitan Airport,"columbia, sc",agency;agency leadership;tsa iir;airport security;pre checks,airport,33.941917,-81.1220015,,,Airport,Columbia Metropolitan Airport,,eng_dgm_tsa_mentioner_entities,7210b0b93ed855f729a7b03b30e6a9c0,eng_dgm_tsa_mentioner_entities__7210b0b93ed855f729a7b03b30e6a9c0
flycolumbusga,Columbus Airport,"columbus, ga",agency;agency leadership;tsa iir;airport security;pre checks,airport,32.5155328,-84.9426712,,,Airport,Columbus Airport,,eng_dgm_tsa_mentioner_entities,8671be8ca0d22a11fe2591aa7f8d5529,eng_dgm_tsa_mentioner_entities__8671be8ca0d22a11fe2591aa7f8d5529
gtrairport,Golden Triangle Regional Airport,"columbus, mi",agency;agency leadership;tsa iir;airport security;pre checks,airport,33.4515977,-88.5875147,,,Airport,Golden Triangle Regional Airport,,eng_dgm_tsa_mentioner_entities,757debf9d4c605988e9af7b0bef3b70d,eng_dgm_tsa_mentioner_entities__757debf9d4c605988e9af7b0bef3b70d
columbusairport,John Glenn Columbus International Airport,"columbus, oh",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.9999399,-82.8871767,,,Airport,John Glenn Columbus International Airport,,eng_dgm_tsa_mentioner_entities,f5739025bb075a1d52951b443a15b95b,eng_dgm_tsa_mentioner_entities__f5739025bb075a1d52951b443a15b95b
ccintairport,Corpus Christi International Airport,"corpus christi, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,27.7724235,-97.5021829,,,Airport,Corpus Christi International Airport,,eng_dgm_tsa_mentioner_entities,b261f14b2adb8242a63d92f51180c073,eng_dgm_tsa_mentioner_entities__b261f14b2adb8242a63d92f51180c073
cvgairport,Cincinnati/Northern Kentucky International Airport,"covington, ky",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.0532746,-84.6630165,,,Airport,Cincinnati/Northern Kentucky International Airport,,eng_dgm_tsa_mentioner_entities,bef62198385de4ce03d7af0bf23697c0,eng_dgm_tsa_mentioner_entities__bef62198385de4ce03d7af0bf23697c0
dallaslovefield,Dallas Love Field,"dallas, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,32.8481029,-96.8512063,,,Airport,Dallas Love Field,,eng_dgm_tsa_mentioner_entities,c8201fed553903b11cf72a9d75278b9a,eng_dgm_tsa_mentioner_entities__c8201fed553903b11cf72a9d75278b9a
dfwairport,Dallas/Fort Worth International Airport,"dallas-fort worth, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,32.8998091,-97.0403352,,,Airport,Dallas/Fort Worth International Airport,,eng_dgm_tsa_mentioner_entities,ac19a4937c5c6076996e48d587e6c446,eng_dgm_tsa_mentioner_entities__ac19a4937c5c6076996e48d587e6c446
day_intlairport,James M. Cox Dayton International Airport,"dayton, oh",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.9025242,-84.2217719,,,Airport,James M. Cox Dayton International Airport,,eng_dgm_tsa_mentioner_entities,841f2998d1d662e22d95520bf2543baa,eng_dgm_tsa_mentioner_entities__841f2998d1d662e22d95520bf2543baa
dtweetin,Detroit Metropolitan Wayne County Airport,"detroit, mi",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.2162491,-83.3553642,,,Airport,Detroit Metropolitan Wayne County Airport,,eng_dgm_tsa_mentioner_entities,6b600e867452f7084363d36a805c7b6c,eng_dgm_tsa_mentioner_entities__6b600e867452f7084363d36a805c7b6c
denairport,Denver International Airport,"denver, co",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.8560963,-104.6737376,,,Airport,Denver International Airport,,eng_dgm_tsa_mentioner_entities,37670a96ae1fec509e4dbb6fb5ea1f8b,eng_dgm_tsa_mentioner_entities__37670a96ae1fec509e4dbb6fb5ea1f8b
dsmairport,Des Moines International Airport,"des moines, ia",agency;agency leadership;tsa iir;airport security;pre checks,airport,41.5341333,-93.6587958,,,Airport,Des Moines International Airport,,eng_dgm_tsa_mentioner_entities,51cbc35f2231fca4aad070e5e5008813,eng_dgm_tsa_mentioner_entities__51cbc35f2231fca4aad070e5e5008813
flydab,Daytona Beach International Airport,"daytona beach, fl",agency;agency leadership;tsa iir;airport security;pre checks,airport,29.1832134,-81.0532273,,,Airport,Daytona Beach International Airport,,eng_dgm_tsa_mentioner_entities,265a5017248b516f6bb687950d12b59f,eng_dgm_tsa_mentioner_entities__265a5017248b516f6bb687950d12b59f
dothanairport,Dothan Regional Airport,"dothan, al",agency;agency leadership;tsa iir;airport security;pre checks,airport,31.3148738,-85.448721,,,Airport,Dothan Regional Airport,,eng_dgm_tsa_mentioner_entities,79d6b922cb4019bb83222117a37a25d1,eng_dgm_tsa_mentioner_entities__79d6b922cb4019bb83222117a37a25d1
dubuqueairport,Dubuque Regional Airport,"dubuque, ia",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.4015826,-90.7094376,,,Airport,Dubuque Regional Airport,,eng_dgm_tsa_mentioner_entities,f23c412634c93d555514b94a29b4b378,eng_dgm_tsa_mentioner_entities__f23c412634c93d555514b94a29b4b378
duluthairport,Duluth International Airport,"duluth, mn",agency;agency leadership;tsa iir;airport security;pre checks,airport,46.8383667,-92.1800442,,,Airport,Duluth International Airport,,eng_dgm_tsa_mentioner_entities,4ea15fd95f0b42c59cb7d8d53e5f7ef8,eng_dgm_tsa_mentioner_entities__4ea15fd95f0b42c59cb7d8d53e5f7ef8
cityofdurango,Durango-La Plata County Airport,"durango, co",agency;agency leadership;tsa iir;airport security;pre checks,airport,37.1596721,-107.7507154,,,Airport,Durango-La Plata County Airport,,eng_dgm_tsa_mentioner_entities,81eea1d134eb49cce59b58019c01f1ce,eng_dgm_tsa_mentioner_entities__81eea1d134eb49cce59b58019c01f1ce
flyvail,Eagle County Regional Airport,"eagle, co",agency;agency leadership;tsa iir;airport security;pre checks,airport,39.6397716,-106.915256,,,Airport,Eagle County Regional Airport,,eng_dgm_tsa_mentioner_entities,1f3a60f16d36ed100b596fe174d33068,eng_dgm_tsa_mentioner_entities__1f3a60f16d36ed100b596fe174d33068
flyelp,El Paso International Airport,"el paso, tx",agency;agency leadership;tsa iir;airport security;pre checks,airport,31.8053354,-106.3824345,,,Airport,El Paso International Airport,,eng_dgm_tsa_mentioner_entities,924b0be7081fcb8e91a0535b8013e388,eng_dgm_tsa_mentioner_entities__924b0be7081fcb8e91a0535b8013e388
flyelko_nv,Elko Regional Airport,"elko, nv",agency;agency leadership;tsa iir;airport security;pre checks,airport,40.8278188,-115.786212,,,Airport,Elko Regional Airport,,eng_dgm_tsa_mentioner_entities,b8dabb783d559fd6248d88829d9a9a3c,eng_dgm_tsa_mentioner_entities__b8dabb783d559fd6248d88829d9a9a3c
elm_airport,Elmira/Corning Regional Airport,"elmira, ny",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.1607628,-76.8926215,,,Airport,Elmira/Corning Regional Airport,,eng_dgm_tsa_mentioner_entities,a6035fcfdc3e7f1dbe145703783319ee,eng_dgm_tsa_mentioner_entities__a6035fcfdc3e7f1dbe145703783319ee
erieairport,Erie International Airport Tom Ridge Field,"erie, pa",agency;agency leadership;tsa iir;airport security;pre checks,airport,42.0850848,-80.1713404,,,Airport,Erie International Airport Tom Ridge Field,,eng_dgm_tsa_mentioner_entities,1766b615c29b2e28b89890391e4aef00,eng_dgm_tsa_mentioner_entities__1766b615c29b2e28b89890391e4aef00
flyeug,Eugene Airport,"eugene, or",agency;agency leadership;tsa iir;airport security;pre checks,airport,44.1217811,-123.2159003,,,Airport,Eugene Airport,,eng_dgm_tsa_mentioner_entities,0b03e5005000fc82878180cef7c6d7ab,eng_dgm_tsa_mentioner_entities__0b03e5005000fc82878180cef7c6d7ab
flyevv,Evansville Regional Airport,"evansville , in",agency;agency leadership;tsa iir;airport security;pre checks,airport,38.0433641,-87.5271754,,,Airport,Evansville Regional Airport,,eng_dgm_tsa_mentioner_entities,f8b0da1b88e8c376b298129dc246d9eb,eng_dgm_tsa_mentioner_entities__f8b0da1b88e8c376b298129dc246d9eb
fly_fairbanks,Fairbanks International Airport,"fairbanks, ak",agency;agency leadership;tsa iir;airport security;pre checks,airport,64.8164163,-147.8635168,,,Airport,Fairbanks International Airport,,eng_dgm_tsa_mentioner_entities,79b5e014dc12fccc5f9aef4285faf26a,eng_dgm_tsa_mentioner_entities__79b5e014dc12fccc5f9aef4285faf26a
fargoairport,Hector International Airport,"fargo, nd",agency;agency leadership;tsa iir;airport security;pre checks,airport,46.9198612,-96.8255648,,,Airport,Hector International Airport,,eng_dgm_tsa_mentioner_entities,5538de6603cfbca316fecfe102c16195,eng_dgm_tsa_mentioner_entities__5538de6603cfbca316fecfe102c16195
flyxna,Northwest Arkansas National Airport,"fayetteville, ar",agency;agency leadership;tsa iir;airport security;pre checks,airport,36.2786587,-94.304294,,,Airport,Northwest Arkansas National Airport,,eng_dgm_tsa_mentioner_entities,f965c3c0dd42a849ca5ac53c3a9a2bee,eng_dgm_tsa_mentioner_entities__f965c3c0dd42a849ca5ac53c3a9a2bee
flyfayairport,Fayetteville Regional Airport,"fayetteville, nc",agency;agency leadership;tsa iir;airport security;pre checks,airport,34.9910665,-78.887089,,,Airport,Fayetteville Regional Airport,,eng_dgm_tsa_mentioner_entities,7416ab1360093183746a5b08b94f8f32,eng_dgm_tsa_mentioner_entities__7416ab1360093183746a5b08b94f8f32
