german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
steinberg,"Steinberg in Dietzenbach, Germany",50.0299521,8.7820091,2,"Dietzenbach, Germany",50.01761946,8.78784478,,,,,AAEntity,"Steinberg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,fa58ddc9e11b47dbf1785df74b4cb5aa,german_fires_dietzenbach_locations__fa58ddc9e11b47dbf1785df74b4cb5aa
neue stadtmitte,"Neue Stadtmitte in Dietzenbach, Germany",50.0172906,8.7869609,2,,,,,,,,FTO,"Neue Stadtmitte in Dietzenbach, Germany",,german_fires_dietzenbach_locations,c290a1b03f7fe0ed7c45398db4825761,german_fires_dietzenbach_locations__c290a1b03f7fe0ed7c45398db4825761
hexenberg,"Hexenberg in Dietzenbach, Germany",49.9946386,8.7720165,2,,,,,,,ss,Exec,"Hexenberg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a7f9076ebaefe6e5f472c367a246e75a,german_fires_dietzenbach_locations__a7f9076ebaefe6e5f472c367a246e75a
wingertsberg,"Wingertsberg in Dietzenbach, Germany",50.0063537,8.7747838,2,,,,,,,u,Wells,"Wingertsberg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,0cc4717abddbba5cf0f9a400212d4bbf,german_fires_dietzenbach_locations__0cc4717abddbba5cf0f9a400212d4bbf
altstadt,"Altstadt in Dietzenbach, Germany",50.0086776,8.7755861,2,,,,,,,a,Legislator,"Altstadt in Dietzenbach, Germany",,german_fires_dietzenbach_locations,6275df4065f088fba9572174f364e709,german_fires_dietzenbach_locations__6275df4065f088fba9572174f364e709
spessartviertel,"Spessartviertel in Dietzenbach, Germany",50.0172906,8.7869609,2,,,,,,,o,AAEntity,"Spessartviertel in Dietzenbach, Germany",,german_fires_dietzenbach_locations,36c24e9dc1b775b8a3d963d651222bc9,german_fires_dietzenbach_locations__36c24e9dc1b775b8a3d963d651222bc9
adolph-kolping-str.,"Adolph-Kolping-Strasse in Dietzenbach, Germany",50.0207413,8.7802896,1,,,,,,,,Organization,"Adolph-Kolping-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,e86e1d9b7638b625c1490b8e40f31401,german_fires_dietzenbach_locations__e86e1d9b7638b625c1490b8e40f31401
ahornweg,"Ahornweg in Dietzenbach, Germany",49.9956003,8.769933,1,,,,,,,,ForeignMinistry,"Ahornweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,ecff345032a5bdc6429379f4a70a7778,german_fires_dietzenbach_locations__ecff345032a5bdc6429379f4a70a7778
albert-einstein-str.,"Albert-Einstein-Strasse in Dietzenbach, Germany",50.0120209,8.7913322,1,,,,,,,,Diplomat,"Albert-Einstein-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a1b89bad48944dbbcd9928c76b35d0ac,german_fires_dietzenbach_locations__a1b89bad48944dbbcd9928c76b35d0ac
albert-schweitzer-str.,"Albert-Schweitzer-Strasse in Dietzenbach, Germany",50.0286448,8.7907531,1,,,,,,,,News,"Albert-Schweitzer-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,4d090f7a8167ec9ae3b220b0f26789a2,german_fires_dietzenbach_locations__4d090f7a8167ec9ae3b220b0f26789a2
alemannenweg,"Alemannenweg in Dietzenbach, Germany",50.0239499,8.7850568,1,,,,,,,,Wells,"Alemannenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,7dd88897bbc4d3fcb5bf879411c0b18b,german_fires_dietzenbach_locations__7dd88897bbc4d3fcb5bf879411c0b18b
alfred-delp-weg,"Alfred-Delp-Weg in Dietzenbach, Germany",50.0288999,8.7850372,1,,,,,,,,ForeignMinistry,"Alfred-Delp-Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8fb55cb0945cf4babe9fe25ad925e1a3,german_fires_dietzenbach_locations__8fb55cb0945cf4babe9fe25ad925e1a3
alfred-nobel-str.,"Alfred-Nobel-Strasse in Dietzenbach, Germany",50.0010373,8.7991701,1,,,,,,,,ForeignMinister,"Alfred-Nobel-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,1b5979ce3e572ef72e2dee280c74aa4e,german_fires_dietzenbach_locations__1b5979ce3e572ef72e2dee280c74aa4e
alsfelder str.,"Alsfelder Strasse in Dietzenbach, Germany",49.9964879,8.7717146,1,,,,,,,,Person,"Alsfelder Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,d49536a04b4660ec4ec7017deae38425,german_fires_dietzenbach_locations__d49536a04b4660ec4ec7017deae38425
altes sagewerk,"Altes Sagewerk in Dietzenbach, Germany",50.0116461,8.7753407,1,,,,,,,,Media,"Altes Sagewerk in Dietzenbach, Germany",,german_fires_dietzenbach_locations,5e14ff41a4792afb60d73014e5e119a5,german_fires_dietzenbach_locations__5e14ff41a4792afb60d73014e5e119a5
am bieberbach,"Am Bieberbach in Dietzenbach, Germany",50.0209694,8.7865406,1,,,,,,,,Person,"Am Bieberbach in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f45ff18d0224674b954dcb68a0fb10f9,german_fires_dietzenbach_locations__f45ff18d0224674b954dcb68a0fb10f9
am heidenberg,"Am Heidenberg in Dietzenbach, Germany",49.9935604,8.7723303,1,,,,,,,,Organization,"Am Heidenberg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,71bca8de68cb22345b009b12afc804b0,german_fires_dietzenbach_locations__71bca8de68cb22345b009b12afc804b0
am hinterwald,"Am Hinterwald in Dietzenbach, Germany",50.0168376,8.770935,1,,,,,,,,Refinery,"Am Hinterwald in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f7d7998ac62a9da7473e44b3db2929e1,german_fires_dietzenbach_locations__f7d7998ac62a9da7473e44b3db2929e1
am hirschhugel,"Am Hirschhugel in Dietzenbach, Germany",50.0016092,8.7938873,1,,,,,,,,LegislativeCommittee,"Am Hirschhugel in Dietzenbach, Germany",,german_fires_dietzenbach_locations,22b77e43c9ee5d14fb7e5e69b89e7100,german_fires_dietzenbach_locations__22b77e43c9ee5d14fb7e5e69b89e7100
am kirchpfad,"Am Kirchpfad in Dietzenbach, Germany",50.0066453,8.7830511,1,,,,,,,,CompanyKeyword,"Am Kirchpfad in Dietzenbach, Germany",,german_fires_dietzenbach_locations,09c7643ed848b3c629e8cd7045033aca,german_fires_dietzenbach_locations__09c7643ed848b3c629e8cd7045033aca
am knabenborn,"Am Knabenborn in Dietzenbach, Germany",49.9919369,8.7727135,1,,,,,,,,AAEntity,"Am Knabenborn in Dietzenbach, Germany",,german_fires_dietzenbach_locations,e61510338d17445f339326f99c2b2049,german_fires_dietzenbach_locations__e61510338d17445f339326f99c2b2049
am nagelbach,"Am Nagelbach in Dietzenbach, Germany",50.0100297,8.7837938,1,,,,,,,,IndustryTerm,"Am Nagelbach in Dietzenbach, Germany",,german_fires_dietzenbach_locations,fd9db048f09c6b0363892361ceb6b112,german_fires_dietzenbach_locations__fd9db048f09c6b0363892361ceb6b112
am rebstock,"Am Rebstock in Dietzenbach, Germany",50.0042051,8.7710983,1,,,,,,,,Media,"Am Rebstock in Dietzenbach, Germany",,german_fires_dietzenbach_locations,df7e278004625cddc323580a02f917fb,german_fires_dietzenbach_locations__df7e278004625cddc323580a02f917fb
am stadtbrunnen,"Am Stadtbrunnen in Dietzenbach, Germany",50.0091375,8.778234,1,,,,,,,,ForeignMinister,"Am Stadtbrunnen in Dietzenbach, Germany",,german_fires_dietzenbach_locations,64bc9a4eebfea98411a85ecef7198f96,german_fires_dietzenbach_locations__64bc9a4eebfea98411a85ecef7198f96
am stadtpark,"Am Stadtpark in Dietzenbach, Germany",50.0202713,8.7782326,1,,,,,,,,LegislativeCommittee,"Am Stadtpark in Dietzenbach, Germany",,german_fires_dietzenbach_locations,6f6844c6ae04f1acd7f471938735a57b,german_fires_dietzenbach_locations__6f6844c6ae04f1acd7f471938735a57b
am steinberg,"Am Steinberg in Dietzenbach, Germany",50.0299521,8.7820091,1,,,,,,,,Exec,"Am Steinberg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f8aee69bbee6cace13b3a8271b2c973e,german_fires_dietzenbach_locations__f8aee69bbee6cace13b3a8271b2c973e
am stiergraben,"Am Stiergraben in Dietzenbach, Germany",50.0247343,8.7808657,1,,,,,,,,DiplomaticFacilities,"Am Stiergraben in Dietzenbach, Germany",,german_fires_dietzenbach_locations,054e77d7999d189b2d291ff60328be93,german_fires_dietzenbach_locations__054e77d7999d189b2d291ff60328be93
am wiesenpfad,"Am Wiesenpfad in Dietzenbach, Germany",50.0100566,8.7734058,1,,,,,,,,Person,"Am Wiesenpfad in Dietzenbach, Germany",,german_fires_dietzenbach_locations,ea59a10c8967660e8ad780d4f48e961e,german_fires_dietzenbach_locations__ea59a10c8967660e8ad780d4f48e961e
am wingertsberg,"Am Wingertsberg in Dietzenbach, Germany",50.0063537,8.7747838,1,,,,,,,,News,"Am Wingertsberg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8778e5ce585ee4d4be4ae1c091a6aa3e,german_fires_dietzenbach_locations__8778e5ce585ee4d4be4ae1c091a6aa3e
amorbacher weg,"Amorbacher Weg in Dietzenbach, Germany",50.0141165,8.7822848,1,,,,,,,,Refinery,"Amorbacher Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,b1c9bca7ff1767ab3397db3e458c6d89,german_fires_dietzenbach_locations__b1c9bca7ff1767ab3397db3e458c6d89
amselweg,"Amselweg in Dietzenbach, Germany",49.997612,8.7688848,1,,,,,,,,Shipping,"Amselweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,1dbc5fad76c04975068ccd07fe442895,german_fires_dietzenbach_locations__1dbc5fad76c04975068ccd07fe442895
an der vogelhecke,"An der Vogelhecke in Dietzenbach, Germany",50.0217979,8.7713431,1,,,,,,,,Consulates,"An der Vogelhecke in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a043c6ed4efd15b720bb0ded11668786,german_fires_dietzenbach_locations__a043c6ed4efd15b720bb0ded11668786
arminiusstr.,"Arminiusstrasse in Dietzenbach, Germany",50.0260456,8.7827733,1,,,,,,,,FTO,"Arminiusstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,9d197ed1cbfdc0696ea30192d8417f97,german_fires_dietzenbach_locations__9d197ed1cbfdc0696ea30192d8417f97
aschaffenburger weg,"Aschaffenburger Weg in Dietzenbach, Germany",50.0148978,8.7826625,1,,,,,,,,LegislativeCommittee,"Aschaffenburger Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f4dea87ffa9ade2fd933d471ae68dd58,german_fires_dietzenbach_locations__f4dea87ffa9ade2fd933d471ae68dd58
assar-gabrielsson-str.,"Assar-Gabrielsson-Strasse in Dietzenbach, Germany",50.0228933,8.7942619,1,,,,,,,,Pipeline,"Assar-Gabrielsson-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,dc19786a05405915a93e1abe9e63757e,german_fires_dietzenbach_locations__dc19786a05405915a93e1abe9e63757e
auestr.,"Auestrasse in Dietzenbach, Germany",50.0150954,8.7750344,1,,,,,,,,Media,"Auestrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,94e3d0d1e5e7cb4abb5d7216d15abc40,german_fires_dietzenbach_locations__94e3d0d1e5e7cb4abb5d7216d15abc40
auf der bulau,"Auf der Bulau in Dietzenbach, Germany",49.9927042,8.7709269,1,,,,,,,,Pipeline,"Auf der Bulau in Dietzenbach, Germany",,german_fires_dietzenbach_locations,e97fabf77e3d270d3493e92e45d3d419,german_fires_dietzenbach_locations__e97fabf77e3d270d3493e92e45d3d419
babenhauser str.,"Babenhauser Strasse in Dietzenbach, Germany",50.0097782,8.7792597,1,,,,,,,,Shipping,"Babenhauser Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,aa90610d7c585a572782c20c12f66ba5,german_fires_dietzenbach_locations__aa90610d7c585a572782c20c12f66ba5
bachstr.,"Bachstrasse in Dietzenbach, Germany",50.0147051,8.7685102,1,,,,,,,,Keyphrase,"Bachstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,d9feecf6b515ef462919c973a4fd29ea,german_fires_dietzenbach_locations__d9feecf6b515ef462919c973a4fd29ea
bad sodener str.,"Bad Sodener Strasse in Dietzenbach, Germany",50.0158493,8.7847203,1,,,,,,,,AAEntity,"Bad Sodener Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,32d70f67b99898d98cb769981bb3032a,german_fires_dietzenbach_locations__32d70f67b99898d98cb769981bb3032a
bahnhofstr.,"Bahnhofstrasse in Dietzenbach, Germany",50.0088155,8.7808798,1,,,,,,,,ForeignMinistry,"Bahnhofstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,040b0192cc664a82ef2e749bd4124021,german_fires_dietzenbach_locations__040b0192cc664a82ef2e749bd4124021
barbarossastr.,"Barbarossastrasse in Dietzenbach, Germany",50.0253594,8.7854181,1,,,,,,,,CompanyKeyword,"Barbarossastrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,0da2ec20410b2521c5b2daecc80528af,german_fires_dietzenbach_locations__0da2ec20410b2521c5b2daecc80528af
beethovenstr.,"Beethovenstrasse in Dietzenbach, Germany",50.0047475,8.7824285,1,,,,,,,,Person,"Beethovenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,7c5f2c588a74fbd71369d04ae2852961,german_fires_dietzenbach_locations__7c5f2c588a74fbd71369d04ae2852961
bensheimer str.,"Bensheimer Strasse in Dietzenbach, Germany",49.9972387,8.7726448,1,,,,,,,,FTO,"Bensheimer Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a23def29010683131ecee9dc87ed539d,german_fires_dietzenbach_locations__a23def29010683131ecee9dc87ed539d
bergstr.,"Bergstrasse in Dietzenbach, Germany",50.0062382,8.7761521,1,,,,,,,,Keyphrase,"Bergstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,bdb9eef795b21c40bb674c2a03108beb,german_fires_dietzenbach_locations__bdb9eef795b21c40bb674c2a03108beb
berliner str.,"Berliner Strasse in Dietzenbach, Germany",49.9957862,8.7706074,1,,,,,,,,Organization,"Berliner Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,40db6074cb3231c3fc855b5c200435f2,german_fires_dietzenbach_locations__40db6074cb3231c3fc855b5c200435f2
bertha-von-suttner-weg,"Bertha-von-Suttner-Weg in Dietzenbach, Germany",50.0236899,8.7768155,1,,,,,,,,Person,"Bertha-von-Suttner-Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,dda263a964aa9bd183c17bf016118276,german_fires_dietzenbach_locations__dda263a964aa9bd183c17bf016118276
birkenstr.,"Birkenstrasse in Dietzenbach, Germany",50.0142359,8.7769422,1,,,,,,,,Media,"Birkenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,ba59c245736c79b23f1656b16cfc2f18,german_fires_dietzenbach_locations__ba59c245736c79b23f1656b16cfc2f18
blumenweg,"Blumenweg in Dietzenbach, Germany",50.0147051,8.7685102,1,,,,,,,,Consulates,"Blumenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f11f2ab9b95fad7e09caf8ea443fed33,german_fires_dietzenbach_locations__f11f2ab9b95fad7e09caf8ea443fed33
borngasse,"Borngasse in Dietzenbach, Germany",50.0091051,8.7761866,1,,,,,,,,Media,"Borngasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8c28ec175eacf591421e8ab3369341cd,german_fires_dietzenbach_locations__8c28ec175eacf591421e8ab3369341cd
borsigstr.,"Borsigstrasse in Dietzenbach, Germany",50.0252621,8.7942934,1,,,,,,,,Media,"Borsigstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a471babe7518ef26f7d75bcee54db8ce,german_fires_dietzenbach_locations__a471babe7518ef26f7d75bcee54db8ce
breslauer str.,"Breslauer Strasse in Dietzenbach, Germany",49.9937386,8.7679596,1,,,,,,,,LegislativeCommittee,"Breslauer Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,752fd7220e1451883e477035b08d3cc2,german_fires_dietzenbach_locations__752fd7220e1451883e477035b08d3cc2
bruchstr.,"Bruchstrasse in Dietzenbach, Germany",50.0078551,8.773245,1,,,,,,,,Refinery,"Bruchstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,4636cdf4ee9b2bc11c54e91e918b053e,german_fires_dietzenbach_locations__4636cdf4ee9b2bc11c54e91e918b053e
brunnengasse,"Brunnengasse in Dietzenbach, Germany",50.0084735,8.7758173,1,,,,,,,,Keyphrase,"Brunnengasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,c6dcf5e25229c8d43bdc3e7622b6a594,german_fires_dietzenbach_locations__c6dcf5e25229c8d43bdc3e7622b6a594
brunnenstr.,"Brunnenstrasse in Dietzenbach, Germany",50.0087044,8.7732681,1,,,,,,,,Diplomat,"Brunnenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,b6642fd0b32667b75dbee18c6ff945dc,german_fires_dietzenbach_locations__b6642fd0b32667b75dbee18c6ff945dc
bruckwiesenweg,"Bruckwiesenweg in Dietzenbach, Germany",50.0140127,8.7847087,1,,,,,,,,News,"Bruckwiesenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f45e10db2f74221c3f8ac124cc525c46,german_fires_dietzenbach_locations__f45e10db2f74221c3f8ac124cc525c46
buchenweg,"Buchenweg in Dietzenbach, Germany",49.9951724,8.769892,1,,,,,,,,Consulates,"Buchenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8282956ee7cde64ae5f9c6b5f64b0009,german_fires_dietzenbach_locations__8282956ee7cde64ae5f9c6b5f64b0009
bollstr.,"Bollstrasse in Dietzenbach, Germany",50.0219881,8.7769466,1,,,,,,,,LegislativeCommittee,"Bollstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,153a50ae66013107eec414f6322621be,german_fires_dietzenbach_locations__153a50ae66013107eec414f6322621be
carl-ulrich-str.,"Carl-Ulrich-Strasse in Dietzenbach, Germany",50.0194265,8.7887013,1,,,,,,,,Exec,"Carl-Ulrich-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8bf705410c936592fa53285c0322585a,german_fires_dietzenbach_locations__8bf705410c936592fa53285c0322585a
caroline-scriba-weg,"Caroline-Scriba-Weg in Dietzenbach, Germany",50.0241,8.7785322,1,,,,,,,,FTO,"Caroline-Scriba-Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,82e11bcf8fc0c394b8b09eee7096c80a,german_fires_dietzenbach_locations__82e11bcf8fc0c394b8b09eee7096c80a
danziger str.,"Danziger Strasse in Dietzenbach, Germany",49.9944092,8.7696736,1,,,,,,,,Shipping,"Danziger Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,1ec95869e7419233e672a48990895c8e,german_fires_dietzenbach_locations__1ec95869e7419233e672a48990895c8e
darmstadter str.,"Darmstadter Strasse in Dietzenbach, Germany",50.0072224,8.7760671,1,,,,,,,,FTO,"Darmstadter Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f0482815fcb464171062f08396d597b6,german_fires_dietzenbach_locations__f0482815fcb464171062f08396d597b6
dieffenbachstr.,"Dieffenbachstrasse in Dietzenbach, Germany",50.0238372,8.7814747,1,,,,,,,,Person,"Dieffenbachstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,7f27e3f48427554bc54ad9c4d53ed4a4,german_fires_dietzenbach_locations__7f27e3f48427554bc54ad9c4d53ed4a4
dieselstr.,"Dieselstrasse in Dietzenbach, Germany",50.0229654,8.7941988,1,,,,,,,,Shipping,"Dieselstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,195e540651a8e01faaa4c5a047b88270,german_fires_dietzenbach_locations__195e540651a8e01faaa4c5a047b88270
dr.-heumann-weg,"Dr.-Heumann-Weg in Dietzenbach, Germany",50.0103934,8.7794505,1,,,,,,,,Legislator,"Dr.-Heumann-Weg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,fbb2b0c1e9deaf2d91d30c16420ba251,german_fires_dietzenbach_locations__fbb2b0c1e9deaf2d91d30c16420ba251
dreieichstr.,"Dreieichstrasse in Dietzenbach, Germany",50.0174147,8.7748803,1,,,,,,,,space,"Dreieichstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,e11d22b51ea0cb2cab06ebb19352a455,german_fires_dietzenbach_locations__e11d22b51ea0cb2cab06ebb19352a455
eichenweg,"Eichenweg in Dietzenbach, Germany",49.9948284,8.7701412,1,,,,,,,,space,"Eichenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8081bfc9c401ea22030b02d96eb188e4,german_fires_dietzenbach_locations__8081bfc9c401ea22030b02d96eb188e4
eisenbahnstr.,"Eisenbahnstrasse in Dietzenbach, Germany",50.0070981,8.7852211,1,,,,,,,,Wells,"Eisenbahnstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,38df2c0bcc22a1e0c99bdfbe8da4a126,german_fires_dietzenbach_locations__38df2c0bcc22a1e0c99bdfbe8da4a126
elisabeth-selbert-str.,"Elisabeth-Selbert-Strasse in Dietzenbach, Germany",50.0122609,8.7931627,1,,,,,,,,Wells,"Elisabeth-Selbert-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,2524daebcb5d473efac8e44c66ac6d35,german_fires_dietzenbach_locations__2524daebcb5d473efac8e44c66ac6d35
emil-von-behring-str.,"Emil-von-Behring-Strasse in Dietzenbach, Germany",50.0062168,8.7895969,1,,,,,,,,Keyphrase,"Emil-von-Behring-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,81d86c94b1eceaacf45f6a0893230403,german_fires_dietzenbach_locations__81d86c94b1eceaacf45f6a0893230403
erbacher str.,"Erbacher Strasse in Dietzenbach, Germany",49.9993484,8.7726932,1,,,,,,,,Refinery,"Erbacher Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,6694bba2329563206370823073ae6d85,german_fires_dietzenbach_locations__6694bba2329563206370823073ae6d85
erlenweg,"Erlenweg in Dietzenbach, Germany",49.9944606,8.7699417,1,,,,,,,,ForeignMinister,"Erlenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,aea91c26d0ca60ba51dc2bf793317a10,german_fires_dietzenbach_locations__aea91c26d0ca60ba51dc2bf793317a10
etruskerstr.,"Etruskerstrasse in Dietzenbach, Germany",50.0263334,8.7817061,1,,,,,,,,ForeignMinister,"Etruskerstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,4ddd881bec4e429d333cb42c0acf74be,german_fires_dietzenbach_locations__4ddd881bec4e429d333cb42c0acf74be
europaplatz,"Europaplatz in Dietzenbach, Germany",50.018567,8.7835126,1,,,,,,,,Pipeline,"Europaplatz in Dietzenbach, Germany",,german_fires_dietzenbach_locations,14b14e7d22c40dde265eb7fe9c46c603,german_fires_dietzenbach_locations__14b14e7d22c40dde265eb7fe9c46c603
fasanenweg,"Fasanenweg in Dietzenbach, Germany",49.9970337,8.7702175,1,,,,,,,,Consulates,"Fasanenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,3a783e956e71a5d6bc55c29777d95cca,german_fires_dietzenbach_locations__3a783e956e71a5d6bc55c29777d95cca
feldstr.,"Feldstrasse in Dietzenbach, Germany",50.0101848,8.7719122,1,,,,,,,,Diplomat,"Feldstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,ed032913d1912cb05218b6f03cb828bc,german_fires_dietzenbach_locations__ed032913d1912cb05218b6f03cb828bc
fichtenweg,"Fichtenweg in Dietzenbach, Germany",49.9941512,8.7701694,1,,,,,,,,ForeignMinistry,"Fichtenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,77a4bf7ddc77d747dd21339b23a422e7,german_fires_dietzenbach_locations__77a4bf7ddc77d747dd21339b23a422e7
finkenweg,"Finkenweg in Dietzenbach, Germany",49.9992645,8.7705267,1,,,,,,,,Media,"Finkenweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,8f752e07eda716e6c4dd24e7c40d99c3,german_fires_dietzenbach_locations__8f752e07eda716e6c4dd24e7c40d99c3
flurstr.,"Flurstrasse in Dietzenbach, Germany",50.0145589,8.7765389,1,,,,,,,,Consulates,"Flurstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a1736dcf111d0b9ba5587bc6648a3069,german_fires_dietzenbach_locations__a1736dcf111d0b9ba5587bc6648a3069
forsthausstr.,"Forsthausstrasse in Dietzenbach, Germany",49.9981796,8.7688435,1,,,,,,,,AAEntity,"Forsthausstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,69bd30c017d17f7bb14775f823230487,german_fires_dietzenbach_locations__69bd30c017d17f7bb14775f823230487
forstweg,"Forstweg in Dietzenbach, Germany",49.9988074,8.7685537,1,,,,,,,,Person,"Forstweg in Dietzenbach, Germany",,german_fires_dietzenbach_locations,42436a014e8ca3929845ed471f82053a,german_fires_dietzenbach_locations__42436a014e8ca3929845ed471f82053a
frankenstr.,"Frankenstrasse in Dietzenbach, Germany",50.0313175,8.7836759,1,,,,,,,,Organization,"Frankenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,b023468966d31bdfdd2af522ee5e5220,german_fires_dietzenbach_locations__b023468966d31bdfdd2af522ee5e5220
frankfurter str.,"Frankfurter Strasse in Dietzenbach, Germany",50.0155611,8.7734276,1,,,,,,,,Organization,"Frankfurter Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,5a2e20c0bf5928ff92ad9b8d997902c4,german_fires_dietzenbach_locations__5a2e20c0bf5928ff92ad9b8d997902c4
friedensstr.,"Friedensstrasse in Dietzenbach, Germany",50.0071082,8.780604,1,,,,,,,,Shipping,"Friedensstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,f2b2e61db773c2e7b9a13ea76a7044b1,german_fires_dietzenbach_locations__f2b2e61db773c2e7b9a13ea76a7044b1
friedrich-ebert-str.,"Friedrich-Ebert-Strasse in Dietzenbach, Germany",50.0050453,8.778372,1,,,,,,,,ForeignMinister,"Friedrich-Ebert-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,c255c3235d42c773fd65f7c07b7d337d,german_fires_dietzenbach_locations__c255c3235d42c773fd65f7c07b7d337d
fuldaer str.,"Fuldaer Strasse in Dietzenbach, Germany",49.996483,8.7736311,1,,,,,,,,ForeignMinistry,"Fuldaer Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,748373424cc7ef538dfddd27a644d47e,german_fires_dietzenbach_locations__748373424cc7ef538dfddd27a644d47e
gallische str.,"Gallische Strasse in Dietzenbach, Germany",50.0283968,8.7872144,1,,,,,,,,ForeignMinister,"Gallische Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,4da11a7196f7bcbabd05ea7f4ff05504,german_fires_dietzenbach_locations__4da11a7196f7bcbabd05ea7f4ff05504
gartenstr.,"Gartenstrasse in Dietzenbach, Germany",50.0330672,8.7865616,1,,,,,,,,Keyphrase,"Gartenstrasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,a630f397d133faf9598c527b1fb7de1c,german_fires_dietzenbach_locations__a630f397d133faf9598c527b1fb7de1c
georg-august-zinn-str.,"Georg-August-Zinn-Strasse in Dietzenbach, Germany",50.0196274,8.7869506,1,,,,,,,,Legislator,"Georg-August-Zinn-Strasse in Dietzenbach, Germany",,german_fires_dietzenbach_locations,026bf8a67b0f7e916a6c58584856f9c7,german_fires_dietzenbach_locations__026bf8a67b0f7e916a6c58584856f9c7
